year,state,fertility_rate,party_fct,Female,Male,pct
2003,AL,62.58,Rep,500,711,0.7032348804500703
2003,AK,71.71,Rep,689.54,923.07,0.7470072692211858
2003,AZ,79.67,Rep,600,849.995,0.7058865052147365
2003,AR,67.46,Rep,461.2,637.6,0.7233375156838142
2003,CA,69.89,Dem,692,961.53,0.7196863332397325
2003,CO,69.94,Dem,646.175,923.07,0.7000281668779181
2003,CT,59.7,Dem,692.3,1057.69,0.6545396099046034
2003,DE,64.43,Dem,614.25,882,0.6964285714285714
2003,DC,53.44,Dem,673.07,865.38,0.7777739259053826
2003,FL,62.83,Rep,538.46,784.61,0.6862772587655014
2003,GA,69.66,Rep,560,720,0.7777777777777778
2003,HI,71.26,Dem,671.115,769,0.8727113133940182
2003,ID,76.87,Rep,480,673,0.7132243684992571
2003,IL,67.53,Dem,600,884,0.6787330316742082
2003,IN,66.08,Rep,540.4,772,0.7
2003,IA,64.24,Neutral,540.4,768.5999999999999,0.703096539162113
2003,KS,69.73,Rep,560,769,0.7282184655396619
2003,KY,63.19,Rep,500,708.525,0.705691401150277
2003,LA,65.74,Rep,477.5,720,0.6631944444444444
2003,ME,52.44,Dem,520,712.85,0.7294662271165041
2003,MD,62.16,Dem,692.3,961.53,0.7199983359853567
2003,MA,57.19,Dem,710.4,994,0.7146881287726358
2003,MI,62.32,Dem,600,865.44,0.6932889628397115
2003,MN,64.9,Dem,641.4,903.84,0.7096388741370153
2003,MS,68.37,Rep,471.75,690,0.683695652173913
2003,MO,64.31,Rep,550,769.23,0.7150007150007149
2003,MT,63.05,Rep,480,673.07,0.713150192401979
2003,NE,71.87,Rep,498.4,762.35,0.6537679543516757
2003,NV,72.08,Dem,561.73,769.23,0.7302497302497303
2003,NH,53.4,Dem,576.92,920,0.6270869565217391
2003,NJ,64.83,Dem,730,1039.23,0.7024431550282421
2003,NM,71.02,Dem,480,711.53,0.6746026168959848
2003,NY,60.8,Dem,615.38,900,0.6837555555555556
2003,NC,65.14,Rep,538.46,769,0.7002080624187257
2003,ND,60.99,Rep,462.5,688.845,0.6714137432949357
2003,OH,62.94,Rep,550,769.615,0.7146430358036161
2003,OK,70.21,Rep,500,692.3,0.7222302470027445
2003,OR,63.06,Dem,576,800,0.72
2003,PA,58.19,Dem,576.46,807.69,0.7137144201364385
2003,RI,56.82,Dem,625,898.175,0.6958554847329307
2003,SC,62.77,Rep,538.5,740.38,0.7273292093249413
2003,SD,71.33,Rep,490,650,0.7538461538461538
2003,TN,63.31,Rep,495.25,700,0.7075
2003,TX,77.01,Rep,542,769.23,0.7046007046007046
2003,UT,91.8,Rep,550,769.23,0.7150007150007149
2003,VT,51.66,Dem,560.8,749,0.7487316421895861
2003,VA,62.83,Dem,576.92,855,0.6747602339181286
2003,WA,61.79,Dem,625.4300000000001,923.07,0.6775542483235292
2003,WV,58.39,Rep,480,696,0.6896551724137931
2003,WI,61.04,Dem,576.92,807.69,0.7142839455731778
2003,WY,65.64,Rep,480,783.4,0.612713811590503
2004,AL,62.66,Rep,508.445,730.76,0.6957756308500739
2004,AK,73.15,Rep,676.5350000000001,961.53,0.7036025917028071
2004,AZ,80.54,Rep,600,817.3,0.7341245564664138
2004,AR,68.69,Rep,461.53,619.625,0.7448537421827718
2004,CA,70.07,Dem,730,1000,0.73
2004,CO,69.29,Dem,673.0350000000001,928.5,0.7248626817447497
2004,CT,58.98,Dem,730.76,1032,0.7081007751937984
2004,DE,64.3,Dem,656.12,865.38,0.7581871547759366
2004,DC,55.47,Dem,727.88,1068,0.6815355805243446
2004,FL,63.29,Rep,576.92,800,0.72115
2004,GA,70.56,Rep,585,730.76,0.800536427828562
2004,HI,71,Dem,600,807.69,0.7428592653121866
2004,ID,78.54,Rep,507.69,733.63,0.6920245900522062
2004,IL,67.28,Dem,600,923.07,0.6500048750365628
2004,IN,66.85,Rep,550,769.23,0.7150007150007149
2004,IA,65.03,Neutral,560,769.23,0.728000728000728
2004,KS,70.47,Rep,576.92,800,0.72115
2004,KY,64.06,Rep,520,720,0.7222222222222222
2004,LA,66.2,Rep,491,730.76,0.6719032240407248
2004,ME,53.2,Dem,520,740,0.7027027027027027
2004,MD,61.8,Dem,730.76,976.11,0.7486451322084601
2004,MA,56.58,Dem,730.76,996,0.7336947791164659
2004,MI,62.28,Dem,633.6,920,0.688695652173913
2004,MN,65.71,Dem,662.8,954,0.6947589098532494
2004,MS,69.15,Rep,480.76,683.6,0.7032767700409596
2004,MO,65.04,Rep,560,826,0.6779661016949152
2004,MT,63.66,Rep,480.76,671.5,0.7159493670886076
2004,NE,73.35,Rep,540,760,0.7105263157894737
2004,NV,72.46,Dem,576.92,806,0.7157816377171216
2004,NH,54.3,Dem,645,942.3,0.6844953836357848
2004,NJ,64.18,Dem,720,1013.5,0.710409472126295
2004,NM,72.05,Dem,550,800,0.6875
2004,NY,60.28,Dem,665,923.07,0.7204220698321904
2004,NC,65.55,Rep,576.92,751.8,0.7673849428039372
2004,ND,62.7,Rep,480,717.5,0.6689895470383276
2004,OH,63.18,Rep,575,840,0.6845238095238095
2004,OK,70.94,Rep,500,712.5,0.7017543859649122
2004,OR,62.9,Dem,576.66,853.84,0.6753724351166495
2004,PA,58.01,Dem,576.92,800,0.72115
2004,RI,55.3,Dem,630,880,0.7159090909090909
2004,SC,63.42,Rep,544.23,750,0.7256400000000001
2004,SD,73.47,Rep,500,673.07,0.7428647837520614
2004,TN,63.84,Rep,518.2,699.875,0.7404179317735311
2004,TX,77.13,Rep,560,779.3,0.7185936096496857
2004,UT,92.5,Rep,538.46,807.69,0.6666666666666666
2004,VT,52.13,Dem,600,800,0.75
2004,VA,64.02,Dem,600,884.3050000000001,0.6784989341912575
2004,WA,62.45,Dem,660,944.75,0.6985975125694628
2004,WV,58.79,Rep,510.23,701,0.7278601997146933
2004,WI,61.44,Dem,567.735,812.495,0.6987550692619647
2004,WY,66.83,Rep,494,759,0.6508563899868248
2005,AL,63.57,Rep,540.8,769,0.7032509752925877
2005,AK,73.87,Rep,720,1000,0.72
2005,AZ,80.58,Rep,602.115,807.69,0.745477844222412
2005,AR,69.46,Rep,500,653.84,0.7647130796525143
2005,CA,70.49,Dem,750,1019,0.7360157016683022
2005,CO,69.57,Dem,680,961.53,0.707206223414766
2005,CT,58.76,Dem,760,1050,0.7238095238095238
2005,DE,65.26,Dem,673,865,0.7780346820809249
2005,DC,55.38,Dem,769.23,1153.84,0.6666695555709631
2005,FL,64.34,Rep,596.075,828.46,0.7194976220940058
2005,GA,71.42,Rep,590,790.1,0.746740918871029
2005,HI,69.24,Dem,673.07,946,0.7114904862579282
2005,ID,78.95,Rep,538.46,781.8,0.6887439242773089
2005,IL,67.01,Dem,650,924,0.7034632034632035
2005,IN,66.99,Rep,563.4,775.75,0.7262649049307122
2005,IA,66.93,Neutral,576.92,780,0.7396410256410256
2005,KS,71.26,Rep,576.92,796.8,0.7240461847389558
2005,KY,65.04,Rep,538,729,0.7379972565157751
2005,LA,62.01,Rep,500,769,0.6501950585175552
2005,ME,54.34,Dem,576.92,769,0.7502210663198959
2005,MD,62.02,Dem,769.23,1038,0.7410693641618498
2005,MA,55.94,Dem,711.53,1057.69,0.6727207404816156
2005,MI,61.87,Dem,640,910,0.7032967032967034
2005,MN,66.28,Dem,680,961,0.7075962539021852
2005,MS,68.66,Rep,479.5,700,0.685
2005,MO,65.86,Rep,559.6,800,0.6995
2005,MT,64.04,Rep,494.5,692.3,0.7142857142857143
2005,NE,73.1,Rep,557.69,800,0.6971125
2005,NV,73.92,Dem,613.4549999999999,800,0.7668187499999999
2005,NH,54.08,Dem,640,961,0.6659729448491155
2005,NJ,63.7,Dem,769,1057,0.727530747398297
2005,NM,72.98,Dem,541.23,750,0.7216400000000001
2005,NY,59.89,Dem,673.07,936.06,0.719045787663184
2005,NC,66.59,Rep,560,769.23,0.728000728000728
2005,ND,64.79,Rep,520,738.46,0.7041681336836118
2005,OH,63.5,Rep,600,808,0.7425742574257426
2005,OK,71.7,Rep,501.6,787.5,0.6369523809523809
2005,OR,62.91,Dem,598,850,0.7035294117647058
2005,PA,58.49,Dem,576.92,838.95,0.6876691101972703
2005,RI,55.64,Dem,657.5,949.6,0.692396798652064
2005,SC,64.34,Rep,538.4000000000001,769.23,0.6999206999207
2005,SD,74.68,Rep,500,707.775,0.7064391932464413
2005,TN,65.15,Rep,530.5799999999999,692.15,0.7665679404753304
2005,TX,77.4,Rep,576.92,769.23,0.7499967499967499
2005,UT,92.81,Rep,538.23,800,0.6727875
2005,VT,50.23,Dem,607.2,792,0.7666666666666667
2005,VA,64.04,Dem,653.84,946,0.6911627906976745
2005,WA,62.96,Dem,680,950,0.7157894736842105
2005,WV,59.15,Rep,510.5,730.76,0.6985877716350102
2005,WI,62.53,Dem,576.92,874,0.660091533180778
2005,WY,71.37,Rep,500,850,0.5882352941176471
2006,AL,66.14,Rep,566.3399999999999,807.69,0.7011848605281727
2006,AK,77.24,Rep,727.635,1065.2,0.6830970709725873
2006,AZ,83.53,Rep,654.6,864,0.7576388888888889
2006,AR,72.06,Rep,560,700,0.8
2006,CA,72.11,Dem,752.05,1048.635,0.7171704167799091
2006,CO,70.94,Dem,687.46,961.53,0.7149646916892869
2006,CT,59.2,Dem,769.23,1120,0.6868125
2006,DE,66.91,Dem,650,920,0.7065217391304348
2006,DC,57.94,Dem,903.4200000000001,1326.92,0.6808398396286136
2006,FL,66.37,Rep,617.065,865.38,0.7130566918579122
2006,GA,73.39,Rep,610,865.19,0.7050474462256845
2006,HI,72.77,Dem,692.3,923,0.7500541711809317
2006,ID,81.4,Rep,577.56,791,0.7301643489254108
2006,IL,67.86,Dem,669,980.38,0.682388461616924
2006,IN,68.15,Rep,576.92,800,0.72115
2006,IA,69.47,Neutral,580,807,0.7187112763320942
2006,KS,73.7,Rep,560,826.92,0.6772118221835245
2006,KY,67.26,Rep,553.84,756,0.7325925925925927
2006,LA,69.81,Rep,525.5,788.46,0.6664891053445957
2006,ME,55.16,Dem,600,807.69,0.7428592653121866
2006,MD,64.15,Dem,750,1060,0.7075471698113207
2006,MA,56.89,Dem,725,1057.69,0.6854560409949985
2006,MI,62.5,Dem,640,931.5,0.6870638754696726
2006,MN,68.97,Dem,685.6,980.76,0.6990497165463518
2006,MS,75.48,Rep,504,720,0.7
2006,MO,68.27,Rep,567.3,800,0.7091249999999999
2006,MT,69.19,Rep,507.2,730.76,0.6940719251190541
2006,NE,75.06,Rep,560,807.69,0.6933353142913741
2006,NV,76.51,Dem,634,865.38,0.7326261295615799
2006,NH,54.42,Dem,700,1000,0.7
2006,NJ,64.81,Dem,807.69,1153.84,0.7000017333425779
2006,NM,75.5,Dem,527.5,769.23,0.6857506857506858
2006,NY,61.2,Dem,680,903.84,0.7523455478845813
2006,NC,68.12,Rep,576.92,768,0.7511979166666666
2006,ND,66.99,Rep,535.73,750,0.7143066666666666
2006,OH,65.08,Rep,600,865.38,0.6933370311308327
2006,OK,74.47,Rep,576,800,0.72
2006,OR,66.04,Dem,634,900,0.7044444444444444
2006,PA,60.17,Dem,600,865,0.6936416184971098
2006,RI,54.96,Dem,700,961.53,0.7280064064563768
2006,SC,68.61,Rep,553.84,792,0.6992929292929293
2006,SD,78.17,Rep,520,750,0.6933333333333334
2006,TN,66.7,Rep,544,750,0.7253333333333334
2006,TX,78.69,Rep,598.2,840,0.7121428571428572
2006,UT,94.76,Rep,576.92,865,0.6669595375722542
2006,VT,52.44,Dem,612,837,0.7311827956989247
2006,VA,65.73,Dem,653,974.9,0.66981228843984
2006,WA,65.53,Dem,700,980.76,0.7137322076756801
2006,WV,59.81,Rep,539.23,760,0.7095131578947369
2006,WI,64.17,Dem,634,865.38,0.7326261295615799
2006,WY,75.33,Rep,553.84,884,0.6265158371040724
2007,AL,67.61,Rep,519.215,769.23,0.674980174980175
2007,AK,78,Rep,743.63,1100,0.6760272727272727
2007,AZ,82.65,Rep,685.19,895.8,0.7648917169010941
2007,AR,72.72,Rep,549.4,720,0.7630555555555555
2007,CA,72.58,Dem,800,1153,0.6938421509106678
2007,CO,70.48,Dem,730.38,1000,0.73038
2007,CT,59.38,Dem,803,1153,0.6964440589765828
2007,DE,67.69,Dem,696.15,1000,0.6961499999999999
2007,DC,59.37,Dem,865.38,1259.615,0.6870194464181516
2007,FL,66.83,Rep,650,865.38,0.7511151170584021
2007,GA,73.57,Rep,611.4000000000001,923,0.6624052004333696
2007,HI,73.73,Dem,673.0350000000001,885.15,0.7603626503982377
2007,ID,82.96,Rep,576,826.92,0.696560731388768
2007,IL,68.1,Dem,673.07,1000,0.6730700000000001
2007,IN,69.24,Rep,600,904.52,0.6633352496351657
2007,IA,70.3,Neutral,615.38,865,0.7114219653179191
2007,KS,75.68,Rep,602,825.96,0.7288488546660855
2007,KY,68.75,Rep,562.4,783.6,0.7177131189382338
2007,LA,72.4,Rep,576.92,933.07,0.6183030212095555
2007,ME,55.83,Dem,615.19,840,0.7323690476190476
2007,MD,64.95,Dem,800,1100,0.7272727272727273
2007,MA,57.4,Dem,769.23,1198,0.6420951585976628
2007,MI,62.33,Dem,634.7049999999999,950,0.6681105263157894
2007,MN,69.43,Dem,726.5,1000,0.7265
2007,MS,76.26,Rep,500,750,0.6666666666666666
2007,MO,68.88,Rep,576.92,850,0.6787294117647058
2007,MT,68.74,Rep,556.9,750,0.7425333333333333
2007,NE,75.96,Rep,600,865.38,0.6933370311308327
2007,NV,76.43,Dem,680,939,0.724174653887114
2007,NH,54.27,Dem,700,1000,0.7
2007,NJ,65.85,Dem,820.6800000000001,1192.3,0.6883166988174118
2007,NM,77,Dem,600,950,0.631578947368421
2007,NY,62.29,Dem,730.76,961.53,0.7599970879743742
2007,NC,68.61,Rep,600,800,0.75
2007,ND,68.97,Rep,560,759.515,0.7373126271370546
2007,OH,65.78,Rep,625,863.2,0.7240500463392029
2007,OK,75.69,Rep,560,769.23,0.728000728000728
2007,OR,66.37,Dem,650.7,961.53,0.6767339552588063
2007,PA,61.04,Dem,642.4,880,0.73
2007,RI,55.88,Dem,730.76,1000,0.73076
2007,SC,68.67,Rep,557.69,800,0.6971125
2007,SD,80.47,Rep,576,740.265,0.7780997345545176
2007,TN,68.19,Rep,560,769,0.7282184655396619
2007,TX,79.22,Rep,600,850,0.7058823529411765
2007,UT,95.67,Rep,600,880,0.6818181818181818
2007,VT,53.19,Dem,646.4,848.075,0.7621967396751466
2007,VA,66.27,Dem,711.53,1000,0.71153
2007,WA,66.7,Dem,751.6,1015,0.7404926108374384
2007,WV,63.23,Rep,560,840,0.6666666666666666
2007,WI,65.01,Dem,662,865.38,0.7649818576810188
2007,WY,76.49,Rep,560,961,0.5827263267429761
2008,AL,67.19,Rep,576.92,822.9,0.7010815408919674
2008,AK,81.29,Rep,769.23,1161.2,0.6624440234240441
2008,AZ,78.97,Rep,700,967.1,0.7238134629304105
2008,AR,71.46,Rep,596.15,700,0.8516428571428571
2008,CA,70.48,Dem,840,1153.84,0.7280038826873744
2008,CO,69.13,Dem,769,1057.69,0.7270561317588329
2008,CT,57.78,Dem,884.61,1200,0.737175
2008,DE,67.17,Dem,720,980,0.7346938775510204
2008,DC,59.73,Dem,961,1250,0.7688
2008,FL,64.74,Rep,673,920,0.7315217391304348
2008,GA,70.8,Rep,640,961,0.6659729448491155
2008,HI,74.78,Dem,756,961.53,0.786246918972887
2008,ID,82.52,Rep,600,820,0.7317073170731707
2008,IL,66.75,Dem,673,1000,0.673
2008,IN,68.49,Rep,646.15,900,0.7179444444444444
2008,IA,69.44,Neutral,646.5,900,0.7183333333333334
2008,KS,75.56,Rep,621.5350000000001,946.15,0.6569095809332559
2008,KY,67.72,Rep,556.4,800,0.6955
2008,LA,70.9,Rep,600,932,0.6437768240343348
2008,ME,54.54,Dem,615.69,864,0.7126041666666667
2008,MD,64.58,Dem,859.5,1153.84,0.7449039728211885
2008,MA,56.82,Dem,817,1250,0.6536
2008,MI,61.37,Dem,690,989.6,0.6972514147130153
2008,MN,68.55,Dem,751.25,1000,0.75125
2008,MS,73.86,Rep,512.6800000000001,769,0.6666840052015606
2008,MO,68.37,Rep,600,848.075,0.7074845974707425
2008,MT,69.55,Rep,560,807.845,0.6932022850918184
2008,NE,76.3,Rep,634,875,0.7245714285714285
2008,NV,72.09,Dem,686,1000,0.686
2008,NH,53.17,Dem,713.5,1057.6,0.67464069591528
2008,NJ,64.31,Dem,807.69,1195.2,0.6757781124497992
2008,NM,76.08,Dem,633.355,855.575,0.7402682406568681
2008,NY,61.63,Dem,750,1000,0.75
2008,NC,67.66,Rep,620,840,0.7380952380952381
2008,ND,70.03,Rep,576.92,807.69,0.7142839455731778
2008,OH,65.47,Rep,634,850,0.7458823529411764
2008,OK,75.18,Rep,615,817.15,0.7526157988129475
2008,OR,65.53,Dem,669.23,923.07,0.7250046042011982
2008,PA,60.67,Dem,680,912,0.7456140350877193
2008,RI,55.11,Dem,730,1070,0.6822429906542056
2008,SC,68.17,Rep,576.92,800,0.72115
2008,SD,79.48,Rep,600,759.05,0.7904617614122917
2008,TN,67.09,Rep,576,769.23,0.7488007488007488
2008,TX,77.84,Rep,621.5,883,0.703850509626274
2008,UT,94.8,Rep,641.6600000000001,923.07,0.6951368801932681
2008,VT,52.49,Dem,673,865.38,0.777693036585084
2008,VA,64.88,Dem,742,1045,0.71004784688995215
2008,WA,67.26,Dem,780,1080,0.7222222222222222
2008,WV,62.28,Rep,560,860,0.6511627906976745
2008,WI,65.02,Dem,655.5,920,0.7125
2008,WY,76.97,Rep,634.61,992.15,0.6396311041677166
